search_term,search_term_inferred,freq
Garbage bag,Garbage Bags,20089
Lassi,Masti,20059
5 star,5 Star,20057
Jimmy,Jimmy's,19813
7up,7 Up,19694
Nutella,Nutella,19667
lemon,Lemon,19667
Cig,Marlboro,19643
Yog,Yogurt,19634
Waffy,Waffy,19569
Thumps,Thums,19506
Lighter,Lighter,19403
Gold,Gold,19392
Thandai,Thandai,19350
Handwash,Handwash,19317
Guava,Guava,19316
Eno,Eno,19285
Oil ,Oil,19218
Fresh cream,Fresh Cream,19215
Sprite,null,19206
Cori,Coriander,19203
Epiga,Epigamia,19200
Cocon,Coconut,19169
Raw,Raw,19134
Sausage,Sausages,19122
Green ch,Green Chilli,19092
Limca,,19077
Green chi,Green Chilli,19075
Chill,Chilli,19048
dahi,Dahi,19022
Mazza,Maaza,19015
Juice ,Juice,18954
Nimbu,Nimbu,18953
Jeera,Cumin/Jeera,18890
Dhaniya,,18743
Milano,Milano,18606
Pizza base,Pizza Base,18580
Tata salt,Tata Salt,18577
Sprouts,Sprouts,18573
Beetroot,Beetroot,18565
Thumsup,Thums Up,18524
Pears,Pears,18496
Brown rice,Brown Rice,18472
Mixture,Mixture,18303
Cauli,Cauliflower,18151
Noodles ,Noodles,18138
Broc,Broccoli,18131
Foil,Foil,18117
Lemo,Lemon,18098
Peanut,Peanut,18093
Mogu,Mogu,18043
Carro,Carrot,17960
Badam,,17934
Catch,Catch,17925
Corne,Cornetto,17914
Mirchi,Chilli,17878
Fuse,Fuse,17792
Ata,Atta,17783
Cuc,Cucumber,17743
Milk shake,Milk shakes,17685
Tissue,Tissue Paper,17685
Tooth,Toothpaste,17682
Durex,Durex,17649
Veeba,Veeba,17573
Coke ,Coca,17544
Namkeen,Namkeen,17433
Arun,Arun,17385
Chikki,Chikki,17323
Watermelon ,Watermelon,17292
Thump,Thums,17266
Nimbooz,Nimbooz,17225
Condoms,Condoms,17209
Cashew,Cashews,17203
Epig,Epigamia,17130
Masala oats,Masala Oats,17081
Rava,Rava,17049
chocolate,Chocolates,17029
Fortune ,Fortune,17013
French fries,French Fries,17010
Tender ,Tender,17002
egg,Eggs,16986
Pudina,,16978
Dark chocolate,Dark Chocolate,16976
Hershey,Hershey's,16970
Urad dal,Urad Dal,16949
All out,All Out,16930
Detergent,Detergents,16810
Vicks,Vicks,16765
Kiwi,Kiwi,16731
Amul gold,Amul Gold,16680
Dahi,iD Thick,16670
Coke zero,Coca Zero,16642
Ginger gar,Ginger Garlic,16597
Sweets,Sweets,16579
Dairy milk ,Dairy Milk,16567
Ariel,Ariel,16556
Toothpaste ,Toothpaste,16540
juice,Juice,16514
Dog,Dog,16477
Bun,Buns,16477
Nutties,Nutties,16461
Gujiya,Gujia,16435
Momo,Momos,16417
Kit kat,Kitkat Chocolate,16412
Ginger ,Ginger,16402
Ice ,Ice,16343
Toothbrush,Toothbrush,16335
Bisc,Biscuits,16315
Lemon ,Lemon,16299
Mirchi,Mirch,16219
Diet ,Diet,16213
Butter milk,Butter Milk,16130
Mirinda,Mirinda,16112
Fries,Fries,16060
Garam,Garam,16032
Top ramen,Top Ramen,15967
Garam masala,Garam Masala,15956
Garli,Garlic,15926
Drain,Drain,15833
Badam milk,Badam Milk,15828
Gobi,Gobi,15715
Cadbury ,Cadbury,15701
Amla,Amla,15644
ghee,Ghee,15629
Act,ACT,15606
Dew,Dew,15548
Thumb,Thums,15543
Cok,Coca,15526
Sofit,Sofit,15510
banana,Banana,15477
Yogurt ,Yogurt,15447
Puff,Puff,15438
Almond milk,Almond Milk,15416
Kettle,Kettle,15402
Green peas,Green Peas,15383
Exo,Exo,15299
Imli,,15280
garlic,Garlic,15270
Chocolates ,Chocolates,15266
Pring,Pringles,15254
Muesli,Muesli,15240
Soya milk,Soya Milk,15206
Chicken masala,Chicken Masala,15197
Tea ,Tea,15131
Pril,Pril,15127
Garbage ,Garbage,15089
Dark,Dark,15084
Aavin,Aavin,15071
Spri,Sprite,15066
Hair oil,Hair Oil,15057
Thums up,Thums Up,15051
Dhoop,Dhoop,15028
Basmati rice,Basmati Rice,14923
Twix,Twix,14890
Chick,Chicken,14839
Caps,Capsicum,14822
Chilli powder,Chilli Powder,14799
Juices,Juice,14776
Holi ,Holi,14771
Good life,GoodLife Milk,14768
Prasuma,Prasuma,14762
Mayo,Mayo,14750
Thumbs up,Thums Up,14737
Mother dairy,Mother Dairy,14680
Snickers,Snickers,14677
Snacks,,14665
rice,Rice,14641
Britannia cake,Britannia,14590
Froot,Frooti,14579
Vegeta,Vegetables,14560
Waterme,Watermelon,14471
Ors,,14435
Tomatoes,Tomato,14424
Brown sugar,Brown Sugar,14404
Saunf,Saunf,14373
Baking soda,Baking Soda,14356
Pedi,Pedigree,14344
Dhaniya,Coriander/Dhaniya,14320
Facewash,Face Wash,14301
Noodle,Noodles,14270
Gobhi,Gobi,14268
Razor,Razors,14119
Spring,Spring,14064
Sev,Sev,14059
Momos,Momos,13980
Galaxy,Galaxy,13957
Dog food,Dog Food,13955
Fish,Fish,13913
Bournvita,Bournvita,13842
Nissin,Nissin,13839
Nivea,Nivea,13838
Brea,Bread,13806
Wafer,Wafers,13772
Goodday,Good,13768
Cerelac,null,13764
Wafers,Wafers,13763
Haldiram ,Haldiram's,13754
Goodlife,GoodLife,13751
potato,Potato,13718
Tamarind,Tamarind/Imli,13711
Havmor,Havmor,13705
Kurkure ,Kurkure,13692
Chach,,13687
Marl,Marlboro,13661
Gajar,Gajar,13554
Corn flour,Corn Flour,13492
Dairy milk silk,Dairy Milk Silk,13481
4700,4700BC,13454
Knorr,Knorr,13452
Eggs ,Eggs,13437
Nariyal,Nariyal,13434
Full,Full,13410
Sunflower ,Sunflower Oil,13334
Groundnut oil,Groundnut Oil,13331
Sweet,Sweets,13290
Nan,Nan,13270
Capsicum ,Capsicum,13261
Sprit,Sprite,13254
Slim milk,Slim Milk,13241
Vanilla,Vanilla,13213
Rice ,Rice,13212
Ajwain,Ajwain,13207
Amul masti,Amul Masti,13194
